
running 233 tests
test animator::animator_kinetic_fling_x ... ok
test animator::animator_kinetic_fling_xy ... ok
test animator::animator_kinetic_zoom ... ok
test animator::animator_magnetic_approach ... ignored, golden file not yet generated — run `make -C tests/golden/gen run` with magnetic animator support
test animator::animator_speeding_ramp ... ok
test animator::animator_speeding_release ... ok
test animator::animator_speeding_reverse ... ok
test animator::animator_swiping_grip ... ok
test animator::animator_swiping_release ... ok
test animator::animator_visiting_short ... ok
test animator::animator_visiting_square_panel ... ok
test animator::animator_visiting_zoom ... ok
test composition::composition_tktest_1x ... ok
test composition::composition_tktest_2x ... ok
test compositor::compositor_canvas_color ... ok
test compositor::compositor_nested ... ok
test compositor::compositor_overlap ... ok
test compositor::compositor_single_panel ... ok
test compositor::compositor_two_children ... ok
test input::input_drag_sequence ... ok
test input::input_key_to_focused ... ok
test input::input_mouse_hit ... ok
test input::input_mouse_miss ... ok
test input::input_nested_hit ... ok
test input::input_scroll_delta ... ok
test input_filter::filter_keyboard_release ... ok
test input_filter::filter_keyboard_scroll ... ok
test input_filter::filter_keyboard_zoom ... ok
test input_filter::filter_middle_fling ... ok
test input_filter::filter_middle_pan ... ok
test input_filter::filter_wheel_acceleration ... ok
test input_filter::filter_wheel_zoom_in ... ok
test input_filter::filter_wheel_zoom_out ... ok
test interaction::interaction_activate_click ... ok
test interaction::interaction_activate_nonfocusable ... ok
test interaction::interaction_activate_path ... ok
test interaction::interaction_activate_remove ... ok
test interaction::interaction_activate_remove_in_path ... ok
test interaction::interaction_activate_remove_middle ... ok
test interaction::interaction_activate_switch ... ok
test interaction::interaction_focus_click ... ok
test interaction::interaction_focus_disabled_panel ... ok
test interaction::interaction_focus_nested ... ok
test interaction::interaction_focus_remove_focused ... ok
test interaction::interaction_focus_tab_ascend ... ok
test interaction::interaction_focus_tab_backward ... ok
test interaction::interaction_focus_tab_deep ... ok
test interaction::interaction_focus_tab_forward ... ok
test interaction::interaction_focus_tab_wrap ... ok
test interaction::interaction_focus_unfocusable_skip ... ok
test interaction::interaction_focus_visit_down ... ok
test interaction::interaction_focus_visit_first ... ok
test interaction::interaction_focus_visit_last ... ok
test interaction::interaction_focus_visit_left ... ok
test interaction::interaction_focus_visit_out ... ok
test interaction::interaction_focus_visit_out_to_root ... ok
test interaction::interaction_focus_visit_right ... ok
test interaction::interaction_focus_visit_up ... ok
test layout::layout_linear_adaptive_tall ... ok
test layout::layout_linear_adaptive_wide ... ok
test layout::layout_linear_h_align_center ... ok
test layout::layout_linear_h_align_right ... ok
test layout::layout_linear_h_equal ... ok
test layout::layout_linear_h_spacing ... ok
test layout::layout_linear_h_tallness ... ok
test layout::layout_linear_h_weighted ... ok
test layout::layout_linear_min_cell_count ... ok
test layout::layout_linear_min_max_tallness ... ok
test layout::layout_linear_mixed_weights ... ok
test layout::layout_linear_v_align_bottom ... ok
test layout::layout_linear_v_equal ... ok
test layout::layout_linear_v_spacing ... ok
test layout::layout_linear_v_tallness ... ok
test layout::layout_linear_v_weighted ... ok
test layout::layout_pack_equal ... ok
test layout::layout_pack_extreme ... ok
test layout::layout_pack_min_cell_count ... ok
test layout::layout_pack_single ... ok
test layout::layout_pack_weighted ... ok
test layout::layout_raster_2row ... ok
test layout::layout_raster_3col ... ok
test layout::layout_raster_alignment_br ... ok
test layout::layout_raster_alignment_center ... ok
test layout::layout_raster_auto_cols ... ok
test layout::layout_raster_min_cell_count ... ok
test layout::layout_raster_min_max_tallness ... ok
test layout::layout_raster_pref_tall ... ok
test layout::layout_raster_spacing ... ok
test layout::layout_raster_strict ... ok
test notice::notice_active_changed ... ok
test notice::notice_add_and_activate ... ok
test notice::notice_children_changed ... ok
test notice::notice_enable_changed ... ok
test notice::notice_focus_and_layout ... ok
test notice::notice_focus_changed ... ok
test notice::notice_layout_changed ... ok
test notice::notice_re_enable ... ok
test notice::notice_recursive_enable ... ok
test notice::notice_remove_child ... ok
test notice::notice_window_focus_gained ... ok
test notice::notice_window_focus_lost ... ok
test notice::notice_window_resize ... ok
test painter::painter_bezier_filled ... ok
test painter::painter_bezier_stroked ... ok
test painter::painter_canvas_color ... ok
test painter::painter_clip_basic ... ok
test painter::painter_ellipse_basic ... ok
test painter::painter_ellipse_sector ... ok
test painter::painter_ellipse_small ... ok
test painter::painter_gradient_h ... ok
test painter::painter_gradient_radial ... ok
test painter::painter_gradient_v ... ok
test painter::painter_image_paint ... ok
test painter::painter_image_scaled ... ok
test painter::painter_line_basic ... ok
test painter::painter_line_dashed ... ok
test painter::painter_line_ends_all ... ok
test painter::painter_line_thick ... ok
test painter::painter_multi_compose ... ok
test painter::painter_outline_ellipse ... ok
test painter::painter_outline_polygon ... ok
test painter::painter_outline_rect ... ok
test painter::painter_outline_round_rect ... ok
test painter::painter_polygon_complex ... ok
test painter::painter_polygon_star ... ok
test painter::painter_polygon_tri ... ok
test painter::painter_polyline ... ok
test painter::painter_rect_alpha ... ok
test painter::painter_rect_overlap ... ok
test painter::painter_rect_solid ... ok
test painter::painter_round_rect ... ok
test painter::painter_text_alignment ... ok
test painter::painter_text_basic ... ok
test painter::painter_text_below_threshold ... ok
test painter::painter_text_clipped ... ok
test painter::painter_text_fitted ... ok
test painter::painter_text_scaled ... ok
test painter::painter_transform_clip_interaction ... ok
test painter::painter_transform_ellipse_scaled ... ok
test painter::painter_transform_fractional ... ok
test painter::painter_transform_identity_roundtrip ... ok
test painter::painter_transform_nested ... ok
test painter::painter_transform_scale ... ok
test painter::painter_transform_translate ... ok
test parallel::parallel_benchmark ... 
